LOCATION,ADDRESS,CITY,ZIP,X,Y
I 70 WB MM 53.5  MONROVIA,I 70 WB MM 53.5,MONROVIA,,,
"5720 W. WASHINGTON ST  INDIANAPOLIS, IN  46241",5720 W. WASHINGTON ST,INDIANAPOLIS,46241,,
"T INTERSECTION OF CR 150 SOUTH AND JOHN SHAW ROAD  LEBANON, IN.  BOONE COUNTY",CR 150 SOUTH AND JOHN SHAW ROAD,LEBANON,,,
3200 BLOCK OF SR 128 ON THE SOUTH SIDE OF ROAD  FRANKTON,,FRANKTON,,,
"729 COUNTY LINE ROAD  GREENWOOD, IN",729 COUNTY LINE ROAD,GREENWOOD,,,
"4805 SOUTH HARLEM AVE  FOREST VIEW, IL  60402",4805 SOUTH HARLEM AVE,FOREST VIEW,60402,,
"919 PORT ST  ST. JOSEPH, MI",919 PORT ST,ST. JOSEPH,,,
"NORTH OF THE INTERSECTION OF SR 16 AND US 31  DENVER,IN",SR 16 AND US 31,DENVER,,,
"ILLINOIS RIVER MM 299  LEMONT, IL",,LEMONT,,,
"N. 1100 W WEST OF SR32  PARKER CITY,IN",,PARKER CITY,,,
816 E JEFFERSON   ODOR ON 300 S 25 E   TIPTON,816 E JEFFERSON,TIPTON,,,
"25915 SOUTHEAST FRONTAGE ROAD  CHANNAHON, IL  60410",25915 SOUTHEAST FRONTAGE ROAD,CHANNAHON,60410,,
1542 SOUTH 200 WEST   PORTLAND   JAY CO.,1542 SOUTH 200 WEST,PORTLAND,,,
3150 W BERTHA ST,3150 W BERTHA ST,,,,
"7880 SOUTH ARROWHEAD CT  TRAFALGAR, IN  JOHNSON COUNTY",7880 SOUTH ARROWHEAD CT,TRAFALGAR,,,
"ARROW HEAD TRAIL AND THOMPSON RD  INDIANAPOLIS, IN  MARION COUNTY",ARROW HEAD TRAIL AND THOMPSON RD,INDIANAPOLIS,,,
"STURGIS, KY",,STURGIS,,,
PLUM ST,,,,,
"MILEPOST D263  WESTPOINT, IN  TIPPECANOE COUNTY",,WESTPOINT,,,
SR 67 AND 600 S,SR 67 AND 600 S,,,,
"356 THREE RIVERS PKWY  ADDYSTON, OH",356 THREE RIVERS PKWY,ADDYSTON,,,
"LAKE COUNTY  CSX MAIN LINE 1 RUNNING WEST-EAST TO CURTISS STATION  EAST CHICAGO,IN  DC 2.5 MP",,EAST CHICAGO,,,
"701 EAST 2ND STREET  QWENSBORO, KY",701 EAST 2ND STREET,QWENSBORO,,,
"6648 S PERIMETER RD  INDIANAPOLIS, IN  46251",6648 S PERIMETER RD,INDIANAPOLIS,46251,,
